0xa0000270: 03 26 01 03     lw	a2, 0x30(sp)
0xa0000274: 83 26 41 03     lw	a3, 0x34(sp)
0xa0000278: 03 27 81 03     lw	a4, 0x38(sp)
0xa000027c: 83 27 c1 03     lw	a5, 0x3c(sp)
0xa0000280: 13 01 01 05     addi	sp, sp, 0x50
0xa0000284: 73 00 20 30     mret
0xa000009c: 97 17 00 00     auipc	a5, 1
0xa00000a0: 83 c7 87 f5     lbu	a5, -0xa8(a5)
0xa00000a4: 63 80 07 02     beqz	a5, 0x20
0xa00000a8: 17 15 00 00     auipc	a0, 1
0xa00000ac: 13 05 85 e2     addi	a0, a0, -0x1d8
0xa00000b0: ef 00 10 45     jal	0xc50
0xa0000d00: 13 01 81 bd     addi	sp, sp, -0x428
0xa0000d04: 13 03 41 41     addi	t1, sp, 0x414
0xa0000d08: 23 2a b1 40     sw	a1, 0x414(sp)
0xa0000d0c: 23 2c c1 40     sw	a2, 0x418(sp)
0xa0000d10: 23 2e d1 40     sw	a3, 0x41c(sp)
0xa0000d14: 13 06 05 00     mv	a2, a0
0xa0000d18: 93 06 03 00     mv	a3, t1
0xa0000d1c: 13 05 81 00     addi	a0, sp, 8
0xa0000d20: 93 05 00 40     addi	a1, zero, 0x400
0xa0000d24: 23 28 11 40     sw	ra, 0x410(sp)
0xa0000d28: 23 20 e1 42     sw	a4, 0x420(sp)
0xa0000d2c: 23 22 f1 42     sw	a5, 0x424(sp)
0xa0000d30: 23 22 61 00     sw	t1, 4(sp)
0xa0000d34: ef f0 4f dd     jal	-0xa2c
0xa0000308: 13 01 81 f7     addi	sp, sp, -0x88
0xa000030c: 23 22 11 08     sw	ra, 0x84(sp)
0xa0000310: 03 47 06 00     lbu	a4, 0(a2)
0xa0000314: 23 28 a1 00     sw	a0, 0x10(sp)
0xa0000318: 23 24 d1 00     sw	a3, 8(sp)
0xa000031c: 93 02 05 00     mv	t0, a0
0xa0000320: 93 06 05 00     mv	a3, a0
0xa0000324: 13 05 00 00     mv	a0, zero
0xa0000328: 63 00 07 06     beqz	a4, 0x60
0xa000032c: 13 83 05 00     mv	t1, a1
0xa0000330: 93 05 06 00     mv	a1, a2
0xa0000334: 03 26 01 01     lw	a2, 0x10(sp)
0xa0000338: 23 20 81 08     sw	s0, 0x80(sp)
0xa000033c: 23 2e 91 06     sw	s1, 0x7c(sp)
0xa0000340: 93 03 00 00     mv	t2, zero
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
